provider_id,fname,lname,facility_name,address,city,state,zipcode,specialty_code,start_date
N3T000A,Scott,Dawson,Utmost Wellness Therapy,319 Pinon,Springfield,Illinois,62701,heart_surgeon,1/7/2016
N3T100A,Desiree,Edwards,Royal Therapy,1095 Alaska Drive,Chicago,Illinois,60601,family_physician,4/25/2009
N3T200A,Marshall,Lewis,The TrustyMed,2058 South Mesquite,Indianapolis,Indiana,46201,physical_therapist,6/27/1999
N3T300A,Greyson,Hall,Clinica,1498 Juniper Lane,Camden,South Carolina,29020,heart_surgeon,9/4/1997
N3T400A,Beverly,Collins,Medical Zone,446 Canyon,Little Rock,Arkansas,72201,heart_surgeon,7/13/1998
N3T500A,Eli,Adams,Manchester Medical Group,1577 Cedar Boulevard,Ashland,New Hampshire,3217,orthopedist,3/7/2007
N3T600A,Clarence,Paters,Community of Hope,2269 Lee,Anchorage,Alaska,99501,physical_therapist,1/9/2016
N3T700A,Ricardo,Scott,Queens Care Health Center,2552 East Wyoming Drive,Boston,Massachusetts,2101,family_physician,9/14/2017
N3T800A,Ethan,Phillips,Medixo,2428 East Idaho,Denver,Colorado,80201,physical_therapist,4/14/2013
N3T900A,Shane,Fleming,Pacific Clinics,1319 Aloha Lane,Milwaukee,Wisconsin,53201,orthopedist,4/7/2017
N3T1000A,Kayla,Patterson,Trusted Therapy,678 Quail Drive,Bellevue (home of windoze),Washington,98004,family_physician,4/23/2002
N3T1100A,Harvey,Russell,Merry Medic LifeWatchers,434 West Center Lane,Atlanta,Georgia,30301,orthopedist,9/20/2009
N3T1200A,Miranda,Cooke,The Healing Clinic,2541 West Wisconsin,Biloxi,Mississippi,39530,orthopedist,2/15/2010
N3T1300A,Della,Marshall,Elite Wellness Collective,2355 Vermont,Milwaukee,Wisconsin,53201,physical_therapist,1/19/2018
N3T1400A,Luka,Smythe,First Choice Health,661 Lehua Drive,St. Louis,Missouri,63101,heart_surgeon,5/10/2006
N3T1400A,Luka,Smythe,First Choice Health,661 Lehua Drive,St. Louis,Missouri,63101,heart_surgeon,5/10/2006
N3T1500A,Angelique,Matthews,Nutri-Pathic Clinic,1348 North Broadway Boulevard,Orlando,Florida,32801,physical_therapist,4/1/2009
N3T1600A,Orlando,Davidson,Grace Medical,2760 South Meadow Boulevard,Oxford,North Carolina,27565,family_physician,5/22/2003
N3T1700A,Peter,Murray,FamFirst,389 Wisconsin,Walhalla,North Dakota,58282,orthopedist,11/13/2018
N3T1800A,Gloria,Forester,Specialty Healthcare,510 South 1st,Gaylord,Michigan,49734,physical_therapist,2/10/2017
N3T1900A,Janessa,Ward,Family Wellness Center,1759 North 5th Boulevard,Sacramento,California,94203,orthopedist,9/12/1995
N3T2000A,Aaron,Robinson,Care in Cleveland,622 Aloha,Beverly Hills,California,90209,orthopedist,8/25/2006
N3T2100A,Brian,Murray,The Vitality Visit,1142 Shore,Oxford,North Carolina,27565,family_physician,5/10/1997
N3T2200A,Claude,Reid,Global Health Hospitals,1453 West Columbine Lane,Cleveland,Ohio,44101,family_physician,3/23/2000
N3T2300A,Ramon,Campbell,Healing Helpers Group,743 West Colorado Drive,Newport,Rhode Island,2840,family_physician,1/18/2013
N3T2400A,Stella,Gibbs,Treatment Solutions,2795 Washington Street,Dover,Deleware,19901,family_physician,2/12/2011
N3T2500A,Sophia,Richardson,Vital Heart Medical,2361 West Malulani Boulevard,Baltimore,Maryland,21201,family_physician,8/5/2010
N3T2600A,Romeo,Scott,Elite Wellness Collective,497 North Connecticut,Bellevue (home of windoze),Washington,98004,heart_surgeon,6/1/2016
N3T2700A,Wiley,Carter,Fuerza Fitness Center (Fuerza is the Spanish Word For Strength),2952 Wood Street,Duluth,Minnesota,55801,orthopedist,2/22/2018
N3T2800A,Tyra,Edwards,Wellness Corporate Solutions,720 West Highland,Davenport,Iowa,52801,family_physician,5/20/2001
N3T2900A,Monique,Matthews,The TrustyMed,1762 South Tennessee,Reno,Nevada,89501,orthopedist,1/3/2008
N3T3000A,Silvia,Davidson,Trinity Health and Wellness Medical Group,2469 North Hillside Boulevard,Indianapolis,Indiana,46201,family_physician,1/24/2011
N3T3100A,Harold,Smith,QuikHealth,405 Colorado,Freeport,Maine,4032,orthopedist,7/6/2008
N3T3200A,Leona,Gardener,VistaVita,1003 Lake Lane,Portland,Oregon,97201,family_physician,1/6/2005
N3T3300A,Gemma,Jones,Healthy You Clinic,2041 South Lake Street,Aberdeen,South Dakota,57401,family_physician,5/18/2015
N3T3400A,Alexis,Reid,First Choice Health,2277 Center,Huntsville,Alabama,35801,heart_surgeon,6/24/2014
N3T3500A,Silvia,Morrison,The Magical Wellness Center,212 Hillside,Hartford,Conneticut,6101,physical_therapist,11/27/2016
